gene	log2FoldChange
CG13330	-1.468231917
Acp26Aa	-1.46565627
Kmn1	-1.455904708
CG43315	-1.454900834
Cpr65Au	-1.454313373
CG10175	-1.451765585
CG17556	-1.438339198
CheB38c	-1.436814718
CG3655	-1.425350336
Fad2	-1.4247366
link	-1.418986519
CG13231	-1.40812477
CG9518	-1.402672904
CG15529	-1.401167816
shu	-1.399674216
mtsh	-1.392398889
CG10211	-1.385098793
CR45865	-1.366556249
CG10934	-1.366008005
Cpr100A	-1.36331438
CG32650	-1.35905267
CG42272	-1.352789264
ckd	-1.34361064
melt	-1.338989512
CR45570	-1.338986301
nos	-1.337141684
zuc	-1.333448223
CG11617	-1.327273599
CG17324	-1.320281522
CG18446	-1.313677531
CG13884	-1.311899502
CG43117	-1.308786382
ect	-1.301186019
CG15615	-1.287949385
Cpr64Ad	-1.286289164
Root	-1.285549287
CG44102	-1.285358985
spdo	-1.284710683
CG34290	-1.280200534
CG6733	-1.27581548
CR45026	-1.263977962
CG15528	-1.262089378
borr	-1.260602453
Edg91	-1.258803966
CG5968	-1.256838035
eloF	-1.255236646
escl	-1.254567559
CG44158	-1.253014621
CG42562	-1.249157241
CG30054	-1.24888565
1-Dec	-1.23865566
Orc2	-1.234798928
CG15353	-1.231984727
CG16904	-1.22230577
NaPi-T	-1.22219059
CR45170	-1.22169414
CR45403	-1.218349045
Cyp4e3	-1.211869538
CG11368	-1.210958733
CG32040	-1.206455466
Lcp65Ag2	-1.204405477
CG18586	-1.196000278
CG6034	-1.194749875
CR43477	-1.183847355
CG43850	-1.183723338
CG34214	-1.182612465
ea	-1.181004472
Cyp4g1	-1.173297461
CR46140	-1.172341618
ND2	-1.171578558
CR45124	-1.169222118
CG42688	-1.163980846
CR45264	-1.146220404
CG18327	-1.143713226
Fs	-1.128499261
CG13091	-1.117425019
IntS12	-1.117166445
CG17672	-1.115444422
E(spl)m7-HLH	-1.107341117
Vm34Ca	-1.106018486
CR44997	-1.105449984
CG42481	-1.103955552
CG4757	-1.103185342
Obp56a	-1.103017266
CR44315	-1.101699206
CG13841	-1.093248016
CG10924	-1.092242868
CG5626	-1.090915598
CG13477	-1.088808306
CG17097	-1.088808306
gsb	-1.088808306
wntD	-1.088808306
CG43139	-1.088808306
CG46059	-1.088808306
CG11362	-1.087782109
CG9925	-1.085995086
CR45290	-1.077931928
CG43680	-1.071048479
CG14291	-1.069052415
snRNA:U2:34ABb	-1.060809958
CR44107	-1.060182757
CG15482	-1.060088483
CG6739	-1.057619882
rpk	-1.057507465
CR45670	-1.052859383
CG15040	-1.047049198
NimC1	-1.045129797
CR46008	-1.043647326
Cyp4p1	-1.043195558
CR44986	-1.04279623
nesd	-1.03907438
grk	-1.033839727
ymp	-1.030210022
CG15213	-1.028981381
CG43448	-1.025862507
CR44754	-1.025249668
CG32440	-1.021191911
CR44170	-1.020217858
CR45669	-1.019968998
CR45473	-1.01813003
CR32111	-1.016569353
TwdlT	-1.015259412
CG12896	-1.014347835
CG8012	-1.007656691
ana2	-1.007246408
CG3777	-1.007136267
hng3	-1.000086851
Cpr62Bc	-0.999629437
Osi7	-0.996890762
Elba2	-0.996669175
CG13856	-0.994842321
dimm	-0.992616148
ImpE2	-0.987181221
CG32645	-0.986015486
CG13775	-0.984669935
Asciz	-0.981398023
CG2974	-0.977224918
CG13168	-0.974970156
CG10657	-0.970644191
CG11159	-0.969067711
GILT3	-0.962599429
CG9360	-0.959854353
Muc96D	-0.954525592
CG1632	-0.952335827
stet	-0.951069891
CG7402	-0.95093277
CG30403	-0.950433307
CG7102	-0.947424624
CR45272	-0.946297808
snoRNA:U29:54Ec	-0.945784988
CG6337	-0.945275214
Acp24A4	-0.941570436
CG33673	-0.937406177
CG11052	-0.933306122
CG4174	-0.932487527
CG13380	-0.932487527
CG33509	-0.930950574
sr	-0.930550942
PHDP	-0.927757037
CG31467	-0.927503043
CG42561	-0.924934524
CR44266	-0.924625008
Listericin	-0.924598356
CG17560	-0.92054542
CG10205	-0.9175578
CG34172	-0.916124146
GSS	-0.910231884
squ	-0.909919583
CG13639	-0.908029539
CG14694	-0.907936103
E(spl)m2-BFM	-0.906955542
ppk31	-0.904893502
sphinx	-0.90244138
AstCC	-0.899368427
GluRS-m	-0.896881406
CG13599	-0.895946752
dgt4	-0.892715555
CG31815	-0.89221392
CycB	-0.891697764
CG14757	-0.890890555
Obp44a	-0.890234945
CR44472	-0.888172009
AkhR	-0.885850362
ppk29	-0.883339144
CG8539	-0.882747353
Lsp2	-0.880739897
CG31381	-0.880430838
Cyp4p3	-0.879734185
CR44384	-0.877237055
CG14022	-0.876586014
Ipp	-0.875249097
d	-0.873849333
CR46137	-0.873562021
Dfd	-0.873476327
CR44891	-0.871832949
CR44119	-0.871498232
msd5	-0.869928695
qin	-0.86682215
CR45131	-0.866133553
CR45169	-0.864733268
CG14963	-0.860579059
FMRFa	-0.860299373
CG18787	-0.858546177
pgc	-0.855408065
CG6421	-0.853577581
CG5235	-0.848641132
CR44201	-0.847824273
CG14615	-0.847641866
Fen1	-0.847619506
CG6435	-0.846274475
CG9426	-0.844685672
TpnC25D	-0.843266114
AGO3	-0.841270486
CR45960	-0.841134861
CG34305	-0.841075767
Obp8a	-0.839765512
CG13999	-0.837444646
CG43322	-0.836415106
CR44998	-0.835967105
CG2150	-0.835496723
CR44181	-0.835267891
CG13742	-0.83495031
CG14926	-0.833994525
l(2)37Cb	-0.833077248
lectin-46Cb	-0.832865166
CR46036	-0.832289649
TTLL3A	-0.831813875
CG10195	-0.826915842
CG13056	-0.826880039
CG14132	-0.824018051
CG4975	-0.823949225
CG5835	-0.821349997
CG11321	-0.821024778
CG10252	-0.815532719
CG13722	-0.814592684
CG13108	-0.811501169
CG3176	-0.810514597
CG5348	-0.809744213
CG42751	-0.8078392
hui	-0.807133176
CG15221	-0.80691612
Fer2	-0.804787696
SP	-0.803695424
CR45126	-0.80159704
CG2121	-0.801341606
CG15480	-0.800424939
CG14502	-0.800270144
CG43672	-0.799241398
CG15375	-0.797499715
CG4631	-0.79718567
CG31636	-0.796789747
ana3	-0.796740034
CG7768	-0.795182981
GatB	-0.791726466
CG15011	-0.79142078
APC4	-0.787886871
RfC38	-0.787484115
phm	-0.786523185
pwn	-0.783035855
Rcd7	-0.781556434
CG30440	-0.780609507
snoRNA:U3:9B	-0.780253088
CG14109	-0.780120038
CG44242	-0.776233173
CG34056	-0.775922919
CR44663	-0.77557876
CG1441	-0.771881741
snoRNA:Me18S-A28a	-0.770680359
CG13678	-0.770559203
CG45086	-0.770220689
tx	-0.767590632
CR45600	-0.764839259
ProRS-m	-0.764222259
CG4984	-0.764115377
CG9416	-0.763305099
snoRNA:Psi28S-3342	-0.763269319
CG10050	-0.763157061
CG10479	-0.761018403
Pxt	-0.760255971
CG32037	-0.760161714
CycE	-0.759415955
CR44127	-0.758682198
CG14795	-0.757525479
CG8209	-0.756074879
CG31142	-0.754631901
l(2)35Bd	-0.753195471
CR45182	-0.748600507
CG14880	-0.746175083
scpr-A	-0.745253678
CG13741	-0.745149408
bru2	-0.739418898
GstE1	-0.738147037
RIC-3	-0.736128198
Uhg5	-0.733163704
CG17687	-0.731813902
Obp57c	-0.729569877
CG6652	-0.727617069
CG14609	-0.727244407
CG43068	-0.726573789
CG10352	-0.726423724
Cyp6w1	-0.725613105
mRpS35	-0.724838757
CG13068	-0.722696759
ZnT35C	-0.721523105
CR45898	-0.719706756
snoRNA:Psi28S-1192d	-0.718577819
CG6912	-0.717683247
TpnC41C	-0.717617375
CR45789	-0.716271765
CG7265	-0.716023887
RhoGAP54D	-0.714164626
COX2	-0.714065467
CR45275	-0.712950732
CG14353	-0.711157829
pb	-0.7111266
CG3045	-0.707049917
CR43358	-0.706317303
Ripalpha	-0.70565632
EF-G2	-0.705519831
sle	-0.705180833
CG4341	-0.704325983
CG1494	-0.701613908
Phax	-0.701580583
fs(1)N	-0.700360388
Slimp	-0.699662948
CG9505	-0.69944206
PpN58A	-0.699418569
CNMa	-0.698960841
CG45676	-0.696858442
CG43232	-0.696458685
Lsp1beta	-0.695422305
Gen	-0.694158672
kkv	-0.69164096
Cpsf73	-0.691632815
Npc2b	-0.689506438
ort	-0.689391611
CG11409	-0.687137232
CG32187	-0.687084402
CG11920	-0.686352906
CG33791	-0.685200612
CG30414	-0.684361681
CG8112	-0.68366322
zye	-0.681269778
CR45968	-0.681090431
CR45161	-0.680063175
mad2	-0.678213381
Obp57b	-0.677509197
Vha36-3	-0.677476486
CG14210	-0.676991881
CG6870	-0.676603536
Ntl	-0.673006959
CG15279	-0.672512742
CG30429	-0.672330571
CG14186	-0.669953565
Dsk	-0.669608956
CG13875	-0.668249564
sosie	-0.66740723
CG5590	-0.66723649
CR45612	-0.666884501
CG14005	-0.664384773
CR45469	-0.66322623
CG44006	-0.663055215
Cyp28c1	-0.662332288
ttv	-0.662234568
CG31675	-0.661816298
janB	-0.659978415
CG8960	-0.658669197
CR45527	-0.65783271
CG9782	-0.657736299
Crz	-0.657676572
SmydA-1	-0.657492566
DNApol-alpha50	-0.657193414
Acp1	-0.655771432
CR45028	-0.655422179
CR44951	-0.655125071
CG8525	-0.653900331
mir-4965	-0.651710368
CG11997	-0.651668758
Vha68-1	-0.65127389
nmdyn-D6	-0.648569192
CG1090	-0.646548888
CR45925	-0.646507567
CG8192	-0.645348975
CG3303	-0.644243116
Obp56h	-0.642987566
Rh2	-0.642033481
CG14074	-0.642026972
dnr1	-0.641520698
fd96Cb	-0.6410283
Glut1	-0.640890524
CG6345	-0.64036845
Ptth	-0.6379846
CG13377	-0.637576422
CG13018	-0.637194938
skl	-0.637021135
NijB	-0.636635901
CG34234	-0.635709961
Proc	-0.635127993
daw	-0.632465562
CG4570	-0.628512474
CG6813	-0.628098565
Vha68-3	-0.627835512
CR40469	-0.627790777
CG1792	-0.627373892
Kal1	-0.627129777
CG11407	-0.626685968
Obp56d	-0.624515376
CR44806	-0.618154924
CG11898	-0.616660293
S-Lap1	-0.616176487
CG15169	-0.615935298
CR45813	-0.615699016
CR45214	-0.615029632
CG4949	-0.613557899
Vml	-0.613230751
CG13397	-0.610331122
CR43939	-0.609765376
CG7881	-0.608633386
pr	-0.607890867
AstC-R2	-0.60660994
CG33958	-0.606350878
CG43155	-0.606064323
CR42861	-0.606007551
atk	-0.60553069
Ugt35b	-0.60450297
CG7091	-0.604254905
Dh31	-0.601761647
exp	-0.601512166
mir-4946	-0.600823278
CR43959	-0.600801981
Pal2	-0.600255482
CR44708	-0.599273399
CG8664	-0.599183609
CG7509	-0.598725132
CG14274	-0.598695741
Sirup	-0.598466188
CG32485	-0.598009599
CR44844	-0.596606109
Eip63F-1	-0.596413821
NimC2	-0.596290586
CR44218	-0.596175568
Andorra	-0.595881168
PPO1	-0.595388803
AlkB	-0.59148209
CG1628	-0.590999694
Gpdh	-0.590733665
CR44514	-0.590568755
CG7737	-0.590344087
CG10208	-0.59030827
CG43897	-0.590252172
CG10646	-0.590157863
Slc45-1	-0.586826952
ida	-0.586058994
cutlet	-0.584552539
dpr4	-0.584415498
CG4074	-0.584335806
CG13116	-0.583926761
Vps39	-0.583764929
PIG-C	-0.583160029
CG43355	-0.583136557
sala	-0.583136557
CR44832	-0.583130288
jtb	-0.583104775
Rpb4	-0.582499392
G6P	-0.581736739
CG5404	-0.58147099
CG31344	-0.581110264
CG15653	-0.580834528
CR45714	-0.579430899
Ilp2	-0.579146929
CG17572	-0.578833859
CR44619	-0.578794012
CG8219	-0.578124104
mdlc	-0.578055195
CG4375	-0.578043877
CG6583	-0.577874479
CG6744	-0.577404183
CR45647	-0.573988042
CR45566	-0.573787446
CG33331	-0.569324638
CG13026	-0.568799983
Rh50	-0.567858049
CG5597	-0.567643556
tum	-0.567260151
CG12288	-0.566904426
mthl4	-0.566898608
Arl6	-0.566708939
CR45177	-0.566422175
ppk10	-0.565004305
CG9313	-0.564440963
CG1764	-0.564177378
Ada2a	-0.562153671
Panx	-0.561780982
Trax	-0.561134468
CG9890	-0.560840673
CG14102	-0.55972699
Uhg3	-0.55853288
CR45928	-0.558399605
serp	-0.55790504
HisCl1	-0.557824236
CG17803	-0.557060875
CR43916	-0.555798974
CG18335	-0.554916198
CG31199	-0.554381542
CR42721	-0.553255979
CG4957	-0.551793759
mus308	-0.551696108
ND4	-0.550512249
CCHa2-R	-0.549641263
mir-9381	-0.549175045
Tret1-2	-0.548241424
CR46029	-0.54659065
CG6279	-0.546436999
Cpr47Ea	-0.545006674
CG33964	-0.54499236
CR43466	-0.542495504
CG33658	-0.542108418
CG5928	-0.541653736
Cdc7	-0.539285198
Ir76a	-0.539011397
RluA-1	-0.538527007
dhd	-0.53782276
ClC-a	-0.53703189
CR31144	-0.536867172
CR44268	-0.53567759
Aplip1	-0.535030233
CG31832	-0.534636959
dsb	-0.534187058
BicC	-0.533700936
CG45084	-0.533700936
Ilp3	-0.53363423
Scgdelta	-0.533551593
CR43426	-0.533103623
Caf1-105	-0.532857339
Gas8	-0.532801347
CR43454	-0.532740827
CG33051	-0.532605418
srl	-0.53228285
TBCC	-0.531778917
CG32104	-0.531727167
CG8654	-0.530835556
CG5731	-0.530109528
Surf6	-0.529528219
APC7	-0.527816121
l(2)efl	-0.527245342
Arf51F	-0.526669555
RpS5b	-0.525452037
CG1307	-0.525448919
CR45621	-0.525172884
pit	-0.524338462
CG17778	-0.523601943
CG32196	-0.523320085
Ude	-0.521805251
CR45759	-0.521504347
snoRNA:Or-aca5	-0.52147365
Sec71	-0.52136365
CR43242	-0.520889367
CR45668	-0.519907001
CG42764	-0.519571228
CG33213	-0.519148449
CG11539	-0.518993329
CG2641	-0.518820642
Art3	-0.51868884
CG15247	-0.518067481
CG33655	-0.517697535
Fancl	-0.517129888
CG15202	-0.516154682
CR32553	-0.514598824
Clp	-0.513382303
Hug	-0.512659069
CG9400	-0.512470349
CG10098	-0.511629183
CG30325	-0.51090354
asun	-0.510741587
CG4968	-0.510544111
CG4962	-0.509903661
Det	-0.509269214
ihog	-0.509259566
CR45241	-0.508977895
CG13674	-0.508232255
CG4020	-0.508154911
Sk2	-0.50678782
CG6154	-0.506723095
l(2)k10201	-0.50615581
CLS	-0.505795436
mst	-0.5055689
CG13258	-0.504941245
qjt	-0.504674282
CG15067	-0.504647862
lbl	-0.504247214
RluA-2	-0.503856453
CG14589	-0.50258159
Syt7	-0.502532147
CG33230	-0.502063651
E(spl)mbeta-HLH	-0.50165232
CG4565	-0.501399887
CR45873	-0.501191415
Cks85A	-0.500830011
CG14141	-0.500694173
CR43859	-0.500478526
Teh2	-0.499755855
CG1275	-0.499636667
SmF	-0.499580356
CG10431	-0.499455136
CG10444	-0.498740564
Myo81F	-0.498690236
CG8152	-0.498564842
mRpL18	-0.498139079
St3	-0.498108593
caz	-0.497370769
CG8673	-0.497058447
CG13339	-0.496591734
CG9413	-0.496175321
CG12863	-0.495476627
SmB	-0.495466333
CG14057	-0.494982037
Gdap1	-0.494881488
CG4335	-0.494314391
Elp3	-0.494215364
Hsc70-1	-0.493065519
Ufc1	-0.492399096
CG33110	-0.492389285
Sgt1	-0.492260408
CG7910	-0.491054955
CR42715	-0.490672143
prel	-0.490563876
Ilp5	-0.490218061
CR30055	-0.490030598
CG14431	-0.489754167
PCNA	-0.489434553
ND-49	-0.489096095
CR45030	-0.489092235
Obp99a	-0.4887546
CG14667	-0.48831335
mtm	-0.487406872
CG1575	-0.487039859
Reck	-0.485910795
CG33521	-0.485714076
CG7720	-0.484544651
CG18598	-0.484271
CG8401	-0.484187605
CR45035	-0.484134984
CG10747	-0.48380569
Swip-1	-0.483595019
RpII18	-0.483491768
CG10424	-0.483398823
CG11555	-0.483189339
Nprl2	-0.483171254
mtrm	-0.481814057
Rpb7	-0.481575002
CR32652	-0.480661508
CycJ	-0.480160507
CR45907	-0.479736076
mth	-0.479413265
CG14968	-0.47871473
CR44340	-0.478636036
CG18031	-0.478262919
CG3588	-0.477860221
drongo	-0.477204846
mTerf5	-0.476928694
CR44474	-0.476793794
CG42633	-0.476771789
Fer3	-0.47665099
CG6707	-0.476419904
CG6401	-0.475854415
rempA	-0.475718094
teq	-0.474955301
c-cup	-0.474893114
CG9902	-0.474874431
pyx	-0.474837245
CR46104	-0.473151023
CG8412	-0.472621971
CG11221	-0.472202233
spartin	-0.472030803
CG31475	-0.471974031
Pkg21D	-0.471694372
Cpr97Eb	-0.471100956
CG13926	-0.470944041
l(2)k09022	-0.470862343
CG31229	-0.47065311
sage	-0.470377506
CG6985	-0.469559343
Adck	-0.469462384
Sdhaf3	-0.468600504
Blos4	-0.468526506
CarT	-0.468240292
hng1	-0.467621711
CG3679	-0.467487416
yellow-b	-0.46695715
CG2010	-0.465758882
CG2680	-0.465724728
cu	-0.464955412
Tes	-0.464835278
Strumpellin	-0.464752245
CG8129	-0.464403074
lms	-0.464170799
CG4042	-0.464048933
schuy	-0.463564983
CG9386	-0.463509772
Acp53C14c	-0.463414617
CR44814	-0.463303309
Opbp	-0.463301077
CG31810	-0.463203179
AANATL2	-0.463094033
CG32212	-0.463024875
CG8713	-0.462947287
CG6425	-0.461527548
Nmdmc	-0.460857136
CG31871	-0.460761615
Obp83g	-0.46014787
CG43341	-0.460084154
CG1360	-0.459585272
CG17193	-0.459124538
CR44964	-0.458916903
GIIIspla2	-0.458901734
roh	-0.458547511
natalisin	-0.458516976
Efhc1.1	-0.457960562
CG7328	-0.457855774
CG32017	-0.456618
CG33946	-0.456535041
CG1143	-0.456089241
ncd	-0.455884076
CG12698	-0.455809404
Dpit47	-0.454830915
rnh1	-0.454726089
CR32657	-0.454708679
CG31251	-0.454482974
tomboy40	-0.453728962
beat-Vb	-0.45362146
CG4045	-0.453086607
CR44429	-0.452784488
ND3	-0.45269803
NP15.6	-0.452183355
CG6094	-0.45113469
DCTN5-p25	-0.450239643
CG15432	-0.4501526
euc	-0.449810275
CG31689	-0.449770104
CG31249	-0.449372917
Trh	-0.449352325
CG2065	-0.44886521
CR44969	-0.44867901
CG45781	-0.448595902
CG3995	-0.447688275
CG11597	-0.447368412
CG4089	-0.44696331
CG3106	-0.445970942
CR44914	-0.445732912
Gie	-0.445671375
CG1239	-0.445471298
Psf2	-0.445116275
mir-9371	-0.444919471
CG8379	-0.444665933
CG32641	-0.444381068
antr	-0.444284855
CG10133	-0.444086008
Yippee	-0.443279304
CG7407	-0.442855046
CG7218	-0.442204164
snoRNA:Me28S-A2564	-0.442178686
CG9643	-0.441625786
CR45975	-0.441113384
CG7409	-0.441061252
THG	-0.44018963
Vps11	-0.44005921
MRG15	-0.439911853
CG3770	-0.439635886
pbl	-0.439211934
CG14868	-0.438880416
CG30395	-0.438752442
CG12942	-0.438261228
CG15387	-0.437287868
CDase	-0.436987533
CG11714	-0.436930965
kni	-0.436276064
CG3407	-0.43623981
CG33969	-0.435397897
LeuRS-m	-0.435297435
mus304	-0.434431025
CG32260	-0.434117947
CG15332	-0.433663257
Ipk1	-0.43358771
sl	-0.432931527
SMC5	-0.432778143
CR45874	-0.432710656
CG2321	-0.43212308
CG11035	-0.431454159
vn	-0.430960644
CG42503	-0.43075048
CR43906	-0.430172813
CG33483	-0.430129812
CG2016	-0.43003717
CG14778	-0.429944303
Prx2540-1	-0.429451959
mRpS25	-0.429139961
CG11626	-0.429001246
spab	-0.428382338
ldbr	-0.428337039
CstF-64	-0.428097555
coil	-0.42801244
CG4619	-0.427892566
Elp2	-0.427756485
CG43093	-0.42627825
Pdf	-0.426122405
mRpS7	-0.425782759
CG13737	-0.425695719
CG10973	-0.425386971
CG13458	-0.425130282
BubR1	-0.424702532
CG13445	-0.424655888
CG33777	-0.424064151
CG32176	-0.423473372
sim	-0.423429506
mRpL55	-0.423406311
CR44272	-0.422637146
CG4686	-0.42253263
APC10	-0.422474038
Ibf2	-0.421693684
NPF	-0.421273772
Gpb5	-0.420759909
GstD11	-0.420270173
Lsm10	-0.419733613
dpr20	-0.419040829
XRCC1	-0.418879537
CG13690	-0.418699304
Dysb	-0.418565518
Rpb8	-0.418533331
CCKLR-17D1	-0.418517179
CG17698	-0.418277661
Akh	-0.417823328
Alp2	-0.417771484
Ms	-0.416859964
PTPMT1	-0.416702875
dare	-0.415987948
CR44043	-0.415810994
CG42487	-0.415479061
CG42304	-0.415320532
Zyx	-0.415200796
CG5147	-0.414762092
AstC	-0.414437242
Nsun2	-0.414389981
CG15356	-0.414299496
CG13794	-0.414153251
CG14075	-0.414042854
CG3792	-0.413968128
CG13248	-0.41354218
CG8159	-0.412802349
CG16787	-0.412423886
esn	-0.41207651
CR43812	-0.411282677
Apc2	-0.410975012
CG14352	-0.410917075
Acp62F	-0.410844775
AP-2sigma	-0.410480474
CG4455	-0.410364861
CG5281	-0.410177005
Lsm11	-0.409826193
zpg	-0.409753585
s-cup	-0.409627625
Cyp12e1	-0.409587126
lbm	-0.409531354
CG31676	-0.409447827
CG1638	-0.40923267
sip2	-0.408685155
CG12817	-0.407913861
CG5780	-0.407615708
Ady43A	-0.407471816
Nak	-0.40721418
cbs	-0.40718852
Sptr	-0.40666044
mRpL33	-0.406621554
wun2	-0.406427005
Trs31	-0.406280471
nod	-0.405681612
CG34174	-0.405647683
nAChRalpha6	-0.405336451
Cpr56F	-0.405245221
eEF1delta	-0.405148654
CG6999	-0.405082017
l(2)05714	-0.405018418
GNBP3	-0.404948315
CG6878	-0.404728796
CG17187	-0.403772601
CG44247	-0.40356521
CG31036	-0.403019799
MESR6	-0.403008976
CR46322	-0.402259484
CG31643	-0.402190688
CG32052	-0.401885038
da	-0.401702356
Mcm6	-0.401669897
CG9090	-0.401626509
CG9286	-0.401191383
CG42711	-0.400659135
Ork1	-0.399490716
CG18641	-0.399351142
CG13255	-0.399111804
CG6709	-0.399057998
CR44843	-0.398963615
CG44314	-0.398501035
Eip71CD	-0.398368781
CR32582	-0.397653512
CR43629	-0.397061413
CG13604	-0.396165223
CG4935	-0.396134863
CG33253	-0.395723068
Hel25E	-0.395581782
Ns1	-0.395399499
MME1	-0.395371136
CG10880	-0.395020525
dod	-0.394835881
Ibf1	-0.394528043
CG10026	-0.394188033
CG34367	-0.394141818
CG34030	-0.393680386
Adgf-C	-0.393646248
ppk28	-0.393627783
gnu	-0.392990299
CG12075	-0.392693465
w	-0.392162171
CG1105	-0.391913453
mRpL43	-0.391719697
CG17328	-0.391291418
beat-Ib	-0.390787986
Muc4B	-0.390741248
Lgr3	-0.390547242
spn-B	-0.390395631
RabX6	-0.390141808
park	-0.390097109
sinu	-0.38957613
CG13890	-0.389328174
CG14711	-0.389320915
VhaM9.7-a	-0.389234189
CG7101	-0.388983517
bab1	-0.388486646
MFS14	-0.38834046
Gr28b	-0.388162282
dpr2	-0.388095996
Rab2	-0.388037232
Nplp1	-0.388033727
CG34141	-0.387786035
MICAL-like	-0.387761276
ATbp	-0.387195915
CG13185	-0.386379458
CG10151	-0.386194926
CG31460	-0.38613254
mRpL32	-0.386065424
subdued	-0.385891153
CG31955	-0.385718363
blp	-0.38567192
Sfp87B	-0.385364268
CG5037	-0.384646705
CR44178	-0.384585127
CG4592	-0.384392711
Rbp1	-0.384262072
Ir68a	-0.384012869
CR43875	-0.383881113
CG5877	-0.3838302
Rrp47	-0.383806628
CG13919	-0.383727338
CG13051	-0.383627578
Nup37	-0.383421309
CG7601	-0.383261388
Cap-H2	-0.383045154
Dhc98D	-0.382951722
CG30428	-0.38238675
cdc14	-0.382100803
Atg7	-0.381957046
GNBP1	-0.381867099
CG5435	-0.381744693
Brca2	-0.381712462
Aatf	-0.381467525
Cyp303a1	-0.381435439
CG14340	-0.38107014
CG6073	-0.381014503
eater	-0.380976142
CG12256	-0.380948967
CG3163	-0.380821434
CG10731	-0.380392829
CG6426	-0.380307127
CG6665	-0.380215556
CG4908	-0.379941021
CG9372	-0.379857837
VGlut	-0.379710748
dgo	-0.379514412
en	-0.379125698
CG3568	-0.378912047
miple1	-0.378463175
CG9016	-0.377143217
CG3430	-0.377041463
CG15601	-0.376742767
Gprk1	-0.376430182
CG42319	-0.37608711
CG4627	-0.375967964
Mlh1	-0.375716545
Haspin	-0.375654166
CG8858	-0.375512139
mir-990	-0.375509631
CG9641	-0.375243894
Arc2	-0.375166492
Capa	-0.375054075
CR45923	-0.375042865
CG30096	-0.374958083
CG12096	-0.374886017
Nup107	-0.374873585
CR45502	-0.37475075
ND-B15	-0.373925642
tra2	-0.373450666
CG13996	-0.373362704
CG17928	-0.373294707
CG32706	-0.373249898
