gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PMP34	722.3169551	-0.109253352	0.156336271	-0.698835603	0.484654776	0.971266515
mRpS6	994.9628105	0.181174184	0.117461167	1.542417702	0.122972123	0.766270086
CG33514	13.70296372	0.493581585	0.701267164	0.703842431	0.481530906	0.970518668
slow	944.8749601	-0.11206216	0.145242262	-0.771553388	0.440378991	0.963663057
Syx17	1222.11505	-0.007304262	0.10736019	-0.068035104	0.94575769	0.997504077
DOR	4692.515052	-0.038955794	0.153527379	-0.253738419	0.799697651	0.996878686
nAChRbeta1	15066.67284	0.019547929	0.082391347	0.237257064	0.812457369	0.996878686
CG15021	549.639916	0.244049997	0.613703163	0.397667817	0.690875063	0.996878686
CG11353	8.515339929	0.034562928	1.104448227	0.031294295	0.97503484	0.999294086
CG11357	616.5559048	-0.158133077	0.131036292	-1.206788398	0.227513645	0.891366016
CG42540	2951.646412	-0.078248975	0.117277804	-0.667210436	0.504637726	0.97828329
HDAC1	162.2965542	-0.234564934	0.207332446	-1.131346971	0.257909082	0.911350999
RhoGEF64C	38.23048002	0.041804043	0.463382195	0.090215039	0.928116334	0.997504077
LeuRS-m	187.2969807	0.281503822	0.232610719	1.210192818	0.226204913	0.891366016
Dnah3	21.4771602	-0.30771096	0.586489621	-0.524665653	0.599815638	0.993511389
CG13704	1113.711241	2.458610401	0.573179835	4.289422359	1.79E-05	0.001268061
Rh50	4709.722936	-0.139907289	0.116907366	-1.196736308	0.231409351	0.892923082
CG15212	2.671813657	1.031167642	1.747623864	0.590039804	0.555163964	0.985587819
CG4603	1053.771302	0.05801885	0.117922308	0.492009114	0.622712901	0.994541529
CR45160	351.9187678	0.066946791	0.166243245	0.40270383	0.687166116	0.996878686
CG4611	123.992627	0.417005175	0.305500819	1.364988733	0.172256591	0.832887289
CHMP2B	142.96041	0.016150946	0.23068983	0.07001152	0.94418449	0.997504077
Gdap1	10.4322103	0.953639866	0.849454352	1.122649927	0.261586202	0.914561177
AlaRS-m	214.7206898	-0.246815781	0.267160587	-0.923848027	0.355565446	0.94703138
Srp54k	545.2618366	0.104594814	0.164923448	0.634202203	0.52594887	0.979340567
Cyt-c1	6505.847865	0.044864699	0.104282015	0.430224701	0.667032195	0.994541529
Membrin	176.2571744	0.031065035	0.210441683	0.147618259	0.882644044	0.997504077
CR45743	2.792640244	-2.267425248	1.522749614	-1.48903354	0.136478537	0.784585331
DIP-delta	1329.277432	-0.193144214	0.15064052	-1.282153132	0.199788933	0.869100191
CG4835	5.721022895	-0.337143505	1.19500195	-0.282127995	0.777845368	0.996878686
Sras	395.6138392	-0.047747484	0.142929147	-0.33406401	0.738331257	0.996878686
bc10	728.0400721	-0.046383869	0.13671582	-0.339272137	0.734404731	0.996878686
l(3)psg2	204.1279347	0.106511874	0.213287885	0.499380795	0.617511146	0.994541529
CG5150	0.664597919	-0.900364182	3.609108092	-0.249469996	0.802997247	0.996878686
mthl2	78.18927162	0.073756474	0.436906831	0.168815109	0.865942074	0.997504077
Blimp-1	1485.776596	-0.081325675	0.108816451	-0.747365618	0.454842893	0.96590517
lin-28	60.63628878	0.605738064	0.387509832	1.563155342	0.118016061	0.75812915
sif	55265.30279	-0.060461806	0.087649819	-0.689810962	0.490313074	0.971266515
CG46320	55015.29516	-0.05876284	0.087478459	-0.671740688	0.501748794	0.976599107
Usp47	1295.882638	-0.014052289	0.143845764	-0.097689976	0.922178475	0.997504077
Txl	498.9575674	0.310949282	0.157844655	1.9699703	0.048841774	0.540145845
scny	582.3394549	-0.250515046	0.148546637	-1.68644037	0.091711011	0.703460144
PGRP-LD	2607.221068	0.072545136	0.127314285	0.569811436	0.568805598	0.987157993
Pmi	2607.005627	0.072311787	0.127398558	0.567602873	0.570304656	0.987516676
CG42272	28.1666975	0.118402923	0.533499597	0.221936293	0.824363477	0.997016825
kri	1256.63918	0.142778831	0.122558729	1.164982962	0.244025889	0.903617046
CG5568	0	NA	NA	NA	NA	NA
CG18586	1.436859855	0.144462364	2.811400507	0.051384484	0.959019149	0.998262761
CG13287	182.6871354	-0.404289506	0.20495479	-1.972578953	0.048543553	0.539158414
CG32409	80.25028571	-0.676214845	0.307433842	-2.199545891	0.02783913	0.408281602
CG13288	58.86842509	0.122403991	0.32992327	0.37100745	0.710631983	0.996878686
CG32407	618.3778746	0.033795314	0.161228015	0.209611918	0.833970577	0.997016825
CG33523	2439.738903	0.047896685	0.096466931	0.496508849	0.619535446	0.994541529
PVRAP	724.476987	-0.031500608	0.125652386	-0.250696456	0.802048801	0.996878686
yip7	2294.953076	3.496835638	0.465908516	7.50541259	6.12E-14	2.03E-11
Jon65Aiv	897.5516972	3.115763756	0.498200914	6.25403059	4.00E-10	6.25E-08
Jon65Aiii	1990.590164	3.439438024	0.49907431	6.891635089	5.52E-12	1.22E-09
tant	421.8080143	-0.127604832	0.152845761	-0.834860129	0.403796466	0.95592978
CG42269	12.53526626	0.100187029	0.77162164	0.129839579	0.896693349	0.997504077
CG6610	61.38643762	-0.041779949	0.35053602	-0.119188747	0.905125822	0.997504077
ssp6	488.0766505	-0.08581524	0.146823056	-0.584480682	0.558896959	0.98589445
CG13293	1215.75309	-0.120293904	0.110117264	-1.09241639	0.274650122	0.925201458
loj	3665.75492	0.158452061	0.1088032	1.456318025	0.145304725	0.796541691
Ets65A	494.0733312	0.011498552	0.161535946	0.071182618	0.943252415	0.997504077
Lcp65Ac	0.664597919	-0.900364182	3.609108092	-0.249469996	0.802997247	0.996878686
CG7376	37.80171458	0.013277607	0.398331449	0.033333062	0.973408988	0.999294086
CG43293	6.251851148	0.984589574	1.133379087	0.868720436	0.385000061	0.951192345
CG7386	33.34680367	0.269047673	0.449403021	0.598677935	0.549387674	0.985587819
Trn	1849.469581	-0.138535018	0.113041315	-1.225525533	0.220377276	0.889392877
CG8219	13.97565847	0.242982141	0.73699042	0.329695114	0.741630346	0.996878686
CG33946	2.082335083	-2.279913496	2.227603949	-1.023482427	0.306079804	0.935168048
Sfp65A	0	NA	NA	NA	NA	NA
CG42747	100.2133311	-0.1337633	0.265451744	-0.503908158	0.614325918	0.994541529
CG8270	886.3006502	-0.03268844	0.135761569	-0.240778301	0.809726948	0.996878686
sfl	2346.893534	-0.115087249	0.114943653	-1.00124927	0.316706312	0.941564226
CR45979	47.3076653	0.14724182	0.480955463	0.306144396	0.759494706	0.996878686
CG32396	226.590694	0.184774929	0.191288831	0.965947296	0.334070554	0.943736445
CG18769	736.3778164	-0.126312319	0.148916749	-0.848207605	0.396322363	0.952699942
CG8368	481.4994539	-0.031310203	0.148194888	-0.211277216	0.83267096	0.997016825
CG8398	437.5427733	-0.190031592	0.149848131	-1.268161239	0.204740376	0.872034129
GluRIA	562.3643087	-0.080944923	0.17188367	-0.470928523	0.637691779	0.994541529
CG8549	102.2157314	0.056358684	0.265189905	0.212521979	0.831699833	0.997016825
vvl	1290.487819	-0.041779036	0.147421649	-0.28339824	0.776871578	0.996878686
CR45414	8.75902607	-0.257389197	0.803204202	-0.320453001	0.748624953	0.996878686
tow	1455.925547	-0.061724143	0.158093087	-0.39042911	0.696219266	0.996878686
CG9948	113.4645818	0.049845226	0.257889013	0.193281696	0.84673836	0.997408062
Surf1	95.42553502	0.073572263	0.254841002	0.288698686	0.772811968	0.996878686
CG9953	530.5500022	0.24227126	0.161034459	1.504468432	0.132460796	0.781008914
Mp	2817.738098	0.038265678	0.193114186	0.198150529	0.842927292	0.997316943
CG14823	86.51049717	0.249428298	0.360859398	0.691206323	0.489435891	0.971266515
form3	2026.339398	0.178551052	0.112797006	1.582941418	0.113434817	0.743745201
CG15829	7.001923558	-0.292352749	1.158321656	-0.252393407	0.800736996	0.996878686
Dbi	1636.277299	1.019897208	0.149840123	6.806569503	1.00E-11	2.00E-09
melt	14.69669308	-1.302827895	0.784293285	-1.661148858	0.096683554	0.707249471
CG8620	23.49487459	0.865404307	0.599567402	1.443381184	0.148913122	0.798439441
BHD	205.64343	-0.252382504	0.212607205	-1.187083495	0.235194688	0.894839607
Neos	170.6151873	0.112115765	0.225524255	0.497133955	0.619094592	0.994541529
CG8607	54.89704226	0.020508875	0.34849166	0.058850405	0.953071261	0.997973223
Rint1	242.2149046	-0.066309052	0.213231484	-0.310972146	0.755821797	0.996878686
CG42307	932.0385988	0.079786903	0.121505803	0.656650966	0.51140537	0.978975836
mus312	931.5839638	0.081218908	0.121583109	0.668011438	0.504126291	0.978040007
lark	3270.132176	-0.212549056	0.099691315	-2.132071946	0.033000932	0.445279028
qm	1135.113005	-0.040829486	0.108685346	-0.375666889	0.707164557	0.996878686
CR45822	283.5988604	0.181932945	0.277931735	0.654595797	0.512728031	0.978975836
Sec63	950.0243767	-0.003820561	0.114788758	-0.033283407	0.973448586	0.999294086
akirin	1200.535955	-0.19910111	0.135310263	-1.471441309	0.141171809	0.788512502
smid	486.2307006	-0.031409159	0.209525275	-0.149906302	0.88083854	0.997504077
CG8563	26.64787053	1.103275486	0.56708953	1.945504948	0.051714235	0.556334088
CG8562	2.887600865	-1.660628371	1.506891339	-1.10202264	0.270451829	0.922588565
