gene	log2FoldChange
CG3106	-2.471014524
dhd	-2.441439557
Obp83b	-2.389742431
Jhedup	-2.36736163
sstn	-2.327626087
CG33946	-2.279913496
veil	-2.275528532
CG15570	-2.270968534
Or92a	-2.270023238
CR45743	-2.267425248
Or42b	-2.26430534
CG17450	-2.264250616
Fad2	-2.258567264
Obp69a	-2.233192742
Drsl5	-2.232876641
yl	-2.216325185
CG14191	-2.214201618
Osi6	-2.181296211
CG32198	-2.17986609
CG17560	-2.17986609
Mur18B	-2.17986609
snoRNA:Me28S-A1322	-2.17986609
CG8172	-2.17986609
CG15353	-2.177064288
CG13133	-2.175206395
Vha68-3	-2.172328344
CycB	-2.141589385
CG40486	-2.139329819
RhoGEF4	-2.131234142
CG13068	-2.073464272
CR46008	-2.056217494
CG11391	-2.013809093
Obp84a	-2.007774815
Dro	-2.005365894
stil	-1.985731954
RecQ4	-1.974614606
amn	-1.966865936
CG7236	-1.959192499
Cp15	-1.94247599
CG31871	-1.936354198
CG14292	-1.911991902
NaPi-T	-1.898809955
Cyp308a1	-1.897779379
CG9920	-1.896733835
CR45938	-1.890622918
CG34040	-1.888685655
Obp28a	-1.870417199
CG13318	-1.870100236
CR44384	-1.867724957
CG8701	-1.864370655
CG13091	-1.863923429
IM23	-1.845469458
CG17048	-1.844021336
PGRP-SC2	-1.832093727
Obp83a	-1.83089057
Sfp87B	-1.821165505
Tsp47F	-1.811972477
GstE4	-1.810881566
CR43477	-1.80292942
w-cup	-1.80292942
CG8997	-1.799047615
OS9	-1.79844273
CR44411	-1.790221651
CG30441	-1.78854603
Glut1	-1.766629386
mir-990	-1.766436828
mir-4964	-1.752466869
Acp53Ea	-1.732780017
CycE	-1.732002222
ppk	-1.723382187
CG14036	-1.711634583
CG31815	-1.708495682
CG9458	-1.703527398
b6	-1.703087455
CR40712	-1.702177739
CG14327	-1.690898749
CG18563	-1.688178578
CG14329	-1.681465876
CR44367	-1.671526796
CR44404	-1.664731775
LManVI	-1.660669066
CG8562	-1.660628371
LysD	-1.658517363
CR32553	-1.652204614
CG5048	-1.650851458
Muc96D	-1.636525183
CR45533	-1.613069174
Obp19a	-1.604180956
CG6938	-1.590707125
Nplp4	-1.587788018
AttA	-1.578955404
CG12535	-1.558532648
bora	-1.556179815
st	-1.551830967
CR45673	-1.543521502
CG10477	-1.541675325
PpN58A	-1.541675325
CG14089	-1.539018721
Snmp1	-1.537024895
lush	-1.526333548
CG9689	-1.520765577
CR45444	-1.518974722
Drs	-1.51888967
Orc1	-1.503910667
CG33093	-1.501715329
CR45332	-1.497644692
Edg91	-1.489196143
sens-2	-1.487136166
CG13658	-1.4849033
mir-2279	-1.484455816
CG4586	-1.475769743
CR44116	-1.475265706
Obp19d	-1.475186118
CR44373	-1.470650669
CG32074	-1.46620534
CG4741	-1.466172872
CR45126	-1.464283013
Cpr72Ec	-1.464101992
spheroide	-1.460192122
CG17571	-1.460037678
CG30438	-1.459693192
a5	-1.456729229
CG44314	-1.455121617
CG9492	-1.43539832
CG15172	-1.43451394
CG32271	-1.433351228
swi2	-1.432315879
CG16904	-1.430177819
Anp	-1.423876892
CG11159	-1.414077706
CG5767	-1.413042716
CG9427	-1.409677544
CG15065	-1.403927903
CG14500	-1.391506242
CG1494	-1.386191409
CG43055	-1.385979265
CG12990	-1.385619421
Pen	-1.380388526
OSCP1	-1.375943923
CG30271	-1.353828119
CG14445	-1.350845236
CR45274	-1.347783361
CG14545	-1.338090781
CG34290	-1.335401278
CG6931	-1.326186181
E(spl)m7-HLH	-1.307846764
CG6785	-1.305677978
melt	-1.302827895
CG13044	-1.30174613
CG12483	-1.291612015
mms4	-1.290018315
CG42819	-1.28983047
Zwilch	-1.28982882
antdh	-1.287741075
CG12698	-1.276765218
mthl4	-1.273648681
CR45327	-1.25329995
Ubx	-1.23711666
CR44493	-1.227984489
CG43647	-1.227774454
dl	-1.227266961
CG6409	-1.221906371
CR44441	-1.221005498
Jon25Biii	-1.214963142
CG5172	-1.212805714
CG8568	-1.189714629
DNApol-alpha60	-1.18416612
CR43855	-1.182944548
CG5909	-1.179078584
CG11911	-1.176687189
CR44459	-1.170278626
CR44566	-1.163804875
CG15475	-1.162663322
CG4702	-1.159486388
Or45a	-1.147421011
shu	-1.145987432
CG42867	-1.144386238
Vm34Ca	-1.143677586
Rh5	-1.143378039
CG17803	-1.142219933
Or98a	-1.139807864
Ir10a	-1.134138545
CG30378	-1.131416901
E(spl)mdelta-HLH	-1.131095246
Cp38	-1.126226431
t	-1.123226136
CR43654	-1.12219152
CG42697	-1.117905956
Rh4	-1.117437201
osk	-1.109080813
CG31636	-1.101149106
Lcp65Ag2	-1.085724058
CR45620	-1.08508135
CG2150	-1.08358369
CG3982	-1.076271024
CG7342	-1.075748589
Tret1-2	-1.07326024
CG14218	-1.071177581
CG11041	-1.070720024
dimm	-1.069614051
phr6-4	-1.069574084
18SrRNA:CR41548	-1.068838251
CG14692	-1.067422434
CG5612	-1.048369236
CG34227	-1.048273768
CG3598	-1.047859675
snoRNA:U3:9B	-1.046171611
CG14892	-1.043089194
CG30187	-1.041915002
snoRNA:Psi18S-1377e	-1.035183396
CG10035	-1.03331848
CG44102	-1.030938058
CR45128	-1.02834173
CG13114	-1.025419985
Brf	-1.021404541
CG42700	-1.020486344
ninaE	-1.019705858
CG12268	-1.019141639
CG6733	-1.016440578
CR44179	-1.014072006
Burs	-1.00845394
CG15725	-1.003921082
b	-1.002546634
CG42284	-0.998022726
CG32855	-0.997431332
CG14495	-0.996667235
CR45595	-0.996215165
CG17018	-0.991702781
CG15657	-0.989459
CG7402	-0.9892292
CG30098	-0.989170625
CG5804	-0.984969647
CG9616	-0.984926775
ppk28	-0.982471787
CR46322	-0.97907247
CG15861	-0.975081092
CG15130	-0.972390513
CG4476	-0.972380632
Hsp70Bc	-0.967976362
soti	-0.967975829
CG42526	-0.956849392
polo	-0.954909886
dah	-0.951626229
ZnT35C	-0.951485771
Pp1-13C	-0.950668159
CG31262	-0.947156
CG16772	-0.94436727
CR44766	-0.943814813
CG46317	-0.943292951
CG42759	-0.943039704
sxe2	-0.942250486
trpl	-0.941018463
pgc	-0.940833875
CR45668	-0.939787225
CG13722	-0.938408604
CG43179	-0.936344062
APC7	-0.934874615
qin	-0.934312273
Mal-A7	-0.931867764
Mtk	-0.925608654
CG15332	-0.923583168
CG42766	-0.922743426
CG6435	-0.922385463
CG43386	-0.921358234
CG7906	-0.92047583
ttv	-0.917187402
ss	-0.915968044
CG2187	-0.915000275
CG15615	-0.915000275
CR45473	-0.914107341
CR44347	-0.913702538
dgt2	-0.91052283
stet	-0.904407338
CG15282	-0.902481249
spartin	-0.902140573
Crg-1	-0.901062871
CG5150	-0.900364182
Lcp65Ac	-0.900364182
BG642163	-0.900364182
E(spl)m5-HLH	-0.900364182
LManIV	-0.900364182
Eh	-0.89971843
Cpr11A	-0.898029146
CR44170	-0.897452077
Orco	-0.896859972
CR44046	-0.896111309
CG34327	-0.896077105
fw	-0.895705074
CR45535	-0.894101116
IM1	-0.892522875
CG14615	-0.892150493
CG6055	-0.891864429
CG12522	-0.891283738
CR45471	-0.890576046
Vm32E	-0.884492947
CR44509	-0.884177753
CG32548	-0.883695082
CG31820	-0.882658423
dsf	-0.878759029
CG9444	-0.877543096
CG10195	-0.871495702
GNBP-like3	-0.870519608
vas	-0.867759092
CG12860	-0.865802632
CG8008	-0.865469309
CR44599	-0.865187435
CheB53a	-0.862059984
Sp212	-0.858573821
CG5142	-0.85687443
CG9766	-0.855969057
lectin-24A	-0.85571621
CG5397	-0.850457352
CR45539	-0.850238435
CheA56a	-0.847629017
CG17189	-0.840441381
sosie	-0.839945305
Him	-0.838549476
CG14050	-0.8383168
CG34141	-0.83795815
CG10177	-0.836592562
CG31687	-0.835423461
Mmp2	-0.832209114
CG17279	-0.830227939
CG6484	-0.829917763
CR43264	-0.824345852
CG13069	-0.824244351
CG15067	-0.819900551
CR45625	-0.819240849
CG15923	-0.813832412
mir-317	-0.811710335
Diedel3	-0.809822749
I-3	-0.80879375
AstA-R2	-0.807912193
Ilp4	-0.804660297
1-Dec	-0.80405351
CG30325	-0.804006464
CR45133	-0.796099848
CG14431	-0.794878814
CG13131	-0.792739429
CR46088	-0.790735709
CG11407	-0.790661179
PHDP	-0.788991622
Rdh	-0.786520366
CG31371	-0.783730993
Nopp140	-0.78090252
CG10750	-0.780573243
CG32150	-0.779899477
CR44986	-0.776312582
CG32087	-0.775380678
snRNA:U5:63BC	-0.774328286
spdo	-0.773382229
CR44119	-0.772276932
msd5	-0.771374524
borr	-0.769606309
CG13231	-0.768872472
Rad51D	-0.767878607
nol	-0.760699466
CG31495	-0.760204939
Elba2	-0.758024787
jef	-0.757543689
snoRNA:Psi18S-531	-0.756455463
CG13314	-0.752365782
Ts	-0.751385632
mei-41	-0.750743403
CG10062	-0.750413029
Hsp70Aa	-0.750181789
XRCC1	-0.748127569
Spn88Eb	-0.746410206
CR44272	-0.744682098
CG15221	-0.741251827
Osi2	-0.739639781
CG15473	-0.736670543
Hsp70Ab	-0.735411501
Kebab	-0.734900928
Amt	-0.734629748
mthl8	-0.734309508
CR9162	-0.734264844
Dtg	-0.73398563
Cpr11B	-0.733265414
CG42637	-0.732400562
Gyc76C	-0.732400562
BthD	-0.732219418
CG16762	-0.725013597
dikar	-0.724249133
CR45683	-0.724115908
CG9313	-0.722701042
GstE1	-0.722369596
CR46036	-0.722015154
CG43202	-0.721007803
knk	-0.720682664
Lrt	-0.720669402
CG34382	-0.717798722
CycA	-0.716104396
ato	-0.716058369
CG34386	-0.715071626
CG15322	-0.715026433
pre-rRNA:CR45845	-0.714451939
CR32582	-0.713454107
CG17266	-0.710388941
CG6569	-0.709597041
CG16713	-0.708583706
mira	-0.707707847
Obp85a	-0.705878093
Spn77Bc	-0.705845472
CR44999	-0.705641006
CG9925	-0.704695675
Dic61B	-0.703060601
CR45388	-0.701326439
CG30054	-0.699568478
CR32218	-0.698698704
CR44320	-0.695828705
Tig	-0.694095041
CG30203	-0.69348481
CR44500	-0.691534434
B-H1	-0.690790129
CG14117	-0.688247178
Rcd7	-0.688175381
exu	-0.688151215
CG14342	-0.687964656
CG30343	-0.687201179
Cyp6a19	-0.685099627
pigs	-0.683263491
CG30274	-0.682909551
Qtzl	-0.682572426
CG11052	-0.682502351
inaF-D	-0.678198818
inaF-B	-0.678198818
CR33963	-0.677774256
CR44291	-0.677660746
CG32409	-0.676214845
CG5160	-0.675150958
Cdc6	-0.674793543
Ir25a	-0.674450414
CG6071	-0.672312411
CR45170	-0.671049935
FANCI	-0.670997686
CCHa1-R	-0.670728911
Arr1	-0.670620946
CG13445	-0.667786115
ttk	-0.666749579
dpa	-0.666187392
CG9451	-0.666172355
CG31731	-0.664338105
CG7829	-0.664146609
CG11905	-0.662745084
Nuf2	-0.661126688
Wsck	-0.661028058
CG5194	-0.660926298
CG33673	-0.65929091
CG2321	-0.659241221
CR45557	-0.658542198
Arl6	-0.658288368
CR45233	-0.656807491
CG10185	-0.655653851
CG31861	-0.65538142
AttB	-0.655206575
CR43432	-0.653928828
Andorra	-0.652757894
CG11674	-0.652700113
Hey	-0.651543477
CG6429	-0.650835158
mei-218	-0.649757339
CG14183	-0.648625796
CG6332	-0.648317814
COX4L	-0.648310697
fj	-0.647944723
spd-2	-0.646456518
exp	-0.644804126
Akh	-0.644241056
CG4456	-0.643575043
Hsp22	-0.643575043
gsb-n	-0.643227778
CG43320	-0.642734593
Arr2	-0.642206713
CR45030	-0.642170187
CG2145	-0.64063328
CG17760	-0.639843788
CG42370	-0.639368423
TyrRII	-0.636403893
Cp110	-0.635728476
Gr63a	-0.635230293
CG14567	-0.634612177
Art2	-0.633387492
CR45182	-0.632517731
Slik	-0.628384875
CG11550	-0.627651441
CG12011	-0.626970231
CG14589	-0.626891606
CG3770	-0.626380945
e(y)2b	-0.626089238
CR45225	-0.625125269
CG7352	-0.624587394
esc	-0.624042695
CR43428	-0.623708368
CG1368	-0.623664844
CR44165	-0.62336625
CG18130	-0.622435129
CG13674	-0.62217455
clumsy	-0.620770451
CR43906	-0.620007031
CR44129	-0.618751318
Cpn	-0.617879313
CG11409	-0.614704762
CG18067	-0.613368552
CG16978	-0.6130203
Mmp1	-0.61164552
CG31156	-0.611172603
CG13895	-0.610671293
snmRNA:158	-0.610155442
CG33217	-0.609941896
CG10431	-0.609155629
Neurochondrin	-0.60777321
Ets21C	-0.60758221
CG11825	-0.607131883
Klp3A	-0.606516526
srl	-0.604731336
CG7910	-0.60271233
l(1)1Bi	-0.60227018
ppk8	-0.601361114
CR43242	-0.599745239
PGRP-SA	-0.599068391
CG17129	-0.597993686
chp	-0.596698876
inaC	-0.596434268
CG13833	-0.594738271
CG13775	-0.59368466
CR44964	-0.593611616
CG11997	-0.592596483
CG31832	-0.591892064
phu	-0.591820195
snoRNA:nop5-x16-a	-0.591745843
Cpr64Ad	-0.591522898
NimC2	-0.59125573
CG34211	-0.589799312
CR32658	-0.589187187
mtrm	-0.588904123
Ugt58Fa	-0.586878317
CG32040	-0.585245464
Pde1c	-0.584513773
boss	-0.584072712
dgt6	-0.582825864
rtp	-0.581956086
RYa-R	-0.580391971
CG34328	-0.580204774
wcy	-0.577797665
Lkr	-0.577699721
CG15040	-0.577446639
CR44201	-0.577352645
Gli	-0.577061975
CR44814	-0.575787262
CG34251	-0.575558878
nop5	-0.575204619
ClC-a	-0.575105225
CG9246	-0.574674613
CG18155	-0.57453889
CR46140	-0.574002522
CG13305	-0.573362702
Nnf1a	-0.571850882
Cp36	-0.570312739
trp	-0.569945136
SmydA-1	-0.568128251
Aplip1	-0.566815049
mud	-0.56652745
CG42232	-0.566028004
CG43680	-0.564366174
CG6405	-0.56259024
CG3831	-0.561678954
CG42364	-0.561044996
CG32801	-0.56090789
Gbeta76C	-0.560782995
CR46195	-0.559076265
MtnD	-0.557081614
CR45102	-0.555625544
CG13742	-0.554828196
CG4733	-0.554598937
Spt	-0.553989145
RnrS	-0.553983942
CG32107	-0.553246969
CG13332	-0.551621773
Odc2	-0.550420226
CG6927	-0.549530252
IM3	-0.549171492
CG43777	-0.549142846
CG13185	-0.546984152
CG30479	-0.546742555
CG10286	-0.546628257
Ugt86Dd	-0.545408443
RPA2	-0.545357296
CG42319	-0.544982602
CG10527	-0.543806695
CG5968	-0.543469016
xmas-2	-0.542469646
Tektin-C	-0.542325328
CG9302	-0.540500385
WRNexo	-0.54018032
frm	-0.53950076
CG33993	-0.538630611
Ect3	-0.537672742
CG4294	-0.536921899
se	-0.536609971
CG17211	-0.53538389
Neto	-0.535182153
CG8854	-0.534980688
aub	-0.534612637
Mur2B	-0.534565685
CR46263	-0.534508285
ovo	-0.533740778
CG13679	-0.532384631
Spn43Aa	-0.530222482
meso18E	-0.53010395
CarT	-0.528234966
CG9449	-0.528094971
CG17322	-0.528010909
Gagr	-0.527507212
CG15375	-0.5274961
CG11459	-0.526340702
CG33460	-0.525575921
CG17290	-0.52542344
CG43062	-0.525383645
CG1561	-0.525264634
CG14642	-0.524147621
CR44663	-0.523973574
CG8773	-0.522499205
Mst57Db	-0.522499205
Ppi1	-0.522499205
CG31688	-0.520548891
CG5001	-0.518045576
twi	-0.51803361
CG11398	-0.517638674
mtsh	-0.517521896
IntS14	-0.516339335
CG5791	-0.516300562
CR45813	-0.516290158
CG43675	-0.515261019
CG1542	-0.513651439
gcm2	-0.513155446
CR45985	-0.512463584
CR17025	-0.511917457
CG15870	-0.510975444
Listericin	-0.510043793
CG15449	-0.509586341
CG15414	-0.509031859
inaD	-0.508560793
CG18273	-0.507920328
Ccp84Ab	-0.507864748
CG42246	-0.506673222
CG14598	-0.506587728
rumi	-0.506181702
ninaA	-0.505710168
CG31626	-0.504494709
Tep2	-0.504465724
CG15661	-0.504448396
Ugt86Di	-0.503905875
Dhc93AB	-0.503572287
CG9664	-0.503040241
CG16965	-0.502367415
TotA	-0.500559263
verm	-0.500461011
CR44506	-0.500028237
SmydA-7	-0.499098548
CG6553	-0.498880245
CG31357	-0.4971312
IM18	-0.496439983
CG13159	-0.496297715
tio	-0.495337881
Klp98A	-0.494932962
CG33137	-0.494226266
CG18031	-0.49297158
CG31198	-0.492006846
CG6652	-0.491384121
Ect4	-0.489977926
CR45746	-0.489517863
CG14834	-0.489368371
VepD	-0.489320221
lilli	-0.48851112
CG5376	-0.488258388
Rh2	-0.488179005
CG6279	-0.487991778
stops	-0.487754898
CG6985	-0.485737077
Klp54D	-0.485518681
Cyp313a1	-0.485006222
ru	-0.48488057
ZnT41F	-0.484844183
tai	-0.484381046
CR44206	-0.483300022
GluRIIA	-0.481244372
CG15914	-0.48106887
CG4328	-0.48049327
Hus1-like	-0.479934873
lectin-46Cb	-0.479414827
snoRNA:Me28S-G2703c	-0.479240623
CG9717	-0.478782482
Gen	-0.478767383
Rh3	-0.47852442
CR44854	-0.478343581
CG15247	-0.477736363
fusl	-0.477088714
RIOK1	-0.476996326
CG9902	-0.476495707
dnr1	-0.4760421
CG9123	-0.47587347
NaCP60E	-0.475597814
CG31249	-0.47548828
CG4096	-0.47480023
CG45105	-0.474635624
CG42675	-0.473839032
Cht6	-0.473463545
CG1671	-0.473204749
CG14964	-0.472145392
hng3	-0.47181004
CG42534	-0.471777717
CR45131	-0.471615437
Xport-A	-0.471158358
CG3626	-0.470857758
sud1	-0.468663235
CG6388	-0.468595317
Hsp26	-0.468455546
TwdlY	-0.466926119
CG10126	-0.466878607
CG9360	-0.465006251
kappaTry	-0.463813407
okr	-0.463235976
kl-2	-0.462849021
CG14075	-0.462456623
kis	-0.46180431
CG14625	-0.461487209
RtcB	-0.461034668
LanA	-0.460691201
18w	-0.459625108
Nlg4	-0.45932438
CG44249	-0.458974614
l(2)34Fd	-0.458007986
CR45960	-0.457545664
DNApol-delta	-0.455646292
CR44785	-0.455392585
TBPH	-0.453841252
CG6337	-0.453694114
CG15186	-0.453172891
lbl	-0.453082206
CG14210	-0.452932214
CG4747	-0.452690865
CG5895	-0.452668719
CG34165	-0.451714257
CG14142	-0.451677537
Tollo	-0.451545045
Cpr65Au	-0.451371719
CG10417	-0.449271678
Mec2	-0.448870824
ninaC	-0.44645587
tum	-0.445815703
CG14516	-0.445448641
pico	-0.445250308
Rbcn-3B	-0.44479184
CG43322	-0.443261549
shn	-0.443112173
rst	-0.442994486
CR45941	-0.442032434
CG7742	-0.441940225
CG14757	-0.441575354
CG44195	-0.441347017
fest	-0.440801513
Hsp68	-0.440307876
CR45251	-0.440095041
CG43341	-0.439719895
CR45403	-0.439051668
pb	-0.438936358
CG3500	-0.438171094
PIP82	-0.438051631
CG3594	-0.437264062
Grip	-0.436984422
CG34265	-0.436642497
CG12560	-0.436406951
CG16868	-0.435880907
Xport-B	-0.435096434
pdm3	-0.434835937
CR43471	-0.434777726
CG10019	-0.434526873
CR44969	-0.43421144
CG10973	-0.432879425
insv	-0.431925053
CG42663	-0.431348778
CG32284	-0.431038669
CG5613	-0.43092689
tilB	-0.430823475
CG17715	-0.430626954
Cks30A	-0.43052544
CG31199	-0.430204916
Adat1	-0.429899795
ect	-0.429607607
CG3294	-0.429472959
CG34008	-0.4293469
Use1	-0.429093313
cv-2	-0.428632882
CR45961	-0.428004484
CG2137	-0.42761335
Syt7	-0.427149052
CG7091	-0.426596095
B4	-0.42656139
bab1	-0.426542547
Adck	-0.426167353
ems	-0.425968031
Lsp1alpha	-0.425840025
CG7694	-0.425821429
CG14683	-0.425721809
Prat2	-0.42561091
CG15544	-0.424620733
CG16749	-0.42459196
Vsx2	-0.423197621
Ing3	-0.422876722
cher	-0.422236138
CG7536	-0.422131068
CR45975	-0.421078409
CG18190	-0.420981699
CG7069	-0.420923419
Obp56e	-0.420057114
holn1	-0.419592443
CG9389	-0.419212538
fred	-0.419045952
Kal1	-0.418310295
CG9691	-0.417661916
luna	-0.417446377
oaf	-0.417036191
CG7131	-0.416919409
CG17883	-0.416728871
Mesh1	-0.416716426
CG7024	-0.416709954
CR32657	-0.416592309
CG5321	-0.416028714
Cyp313b1	-0.415869871
CG6951	-0.415737748
CG18675	-0.415663084
EF-G2	-0.415573763
Ugt86De	-0.415152466
CG42458	-0.415071457
bdg	-0.413450327
Arp5	-0.413363144
CG14259	-0.412934336
CG13229	-0.412718463
nito	-0.412460609
CR44031	-0.411179383
CR43959	-0.410841932
Or10a	-0.409696591
CG17324	-0.408920514
CG12592	-0.407870516
RunxA	-0.407185
CG1504	-0.407124285
Ack-like	-0.406739356
Rbf2	-0.406112838
Spn28Dc	-0.405480411
Ptip	-0.405435804
CG7763	-0.405216243
CG9649	-0.405060231
CG13287	-0.404289506
TwdlF	-0.404125454
CG11370	-0.404088358
sls	-0.402449572
CG14185	-0.401889198
CR45669	-0.401833682
CR45214	-0.401818501
CG18327	-0.400773682
CR42860	-0.400549288
CG31998	-0.400003278
CG30496	-0.399638176
Cyp4ac2	-0.399361398
CG8323	-0.399307369
CG2685	-0.398826981
CG34234	-0.398133503
Ctr1B	-0.398028034
slp2	-0.397366443
CG6329	-0.395813601
CG31467	-0.395165568
CG9519	-0.394946916
CG8550	-0.394359723
CG10257	-0.393590981
kon	-0.393549838
Kua	-0.393217305
CG4089	-0.3926482
CG12116	-0.392632916
Liprin-alpha	-0.392334213
CanA1	-0.391970562
CR45185	-0.391663153
CR44997	-0.391489972
Surf6	-0.390442867
CR45035	-0.390402063
CR45600	-0.390044645
Ku80	-0.389619539
FucTB	-0.389553394
jumu	-0.389307674
dpy	-0.389035104
Cct5	-0.388610799
RpL41	-0.388475483
CG5412	-0.386966037
CG8526	-0.386391978
CG6034	-0.385837744
sbb	-0.38559339
CG6295	-0.385298288
cort	-0.384859749
CG6225	-0.384549751
ABCB7	-0.384425743
5-HT1A	-0.384353594
SmydA-8	-0.383953339
Cyp28d1	-0.383758113
CG14423	-0.3833002
mh	-0.382840446
schuy	-0.382695435
AttC	-0.381527789
CG42489	-0.380345662
Fancl	-0.379774313
CG11984	-0.379677327
CR46003	-0.379197729
CG5027	-0.378775829
fas	-0.378630295
GILT3	-0.378515116
CG14566	-0.378131819
ste24c	-0.377687654
CG30461	-0.377687654
sals	-0.377598765
HtrA2	-0.375612052
CR43943	-0.375482661
CG12484	-0.375116164
cv-c	-0.374256993
mahj	-0.373756732
CR45928	-0.372887525
Ekar	-0.372279781
CG5270	-0.371241575
rdhB	-0.37088142
CG31100	-0.370541973
CG17260	-0.370185031
CG34445	-0.370157219
Arc1	-0.370154688
CG32195	-0.368912483
CG2493	-0.368665781
CG18808	-0.368400874
Lnk	-0.368332753
CR45907	-0.367333625
CG16771	-0.367148422
CR45279	-0.36710488
da	-0.366597563
CG11141	-0.366349546
CG13126	-0.364729389
CR45151	-0.364381777
CR45177	-0.364298125
cln3	-0.364188948
slx1	-0.364087419
CG14147	-0.36383705
CG17298	-0.363582995
tej	-0.363582976
Nle	-0.36342981
l(2)k09848	-0.363041705
sug	-0.363018853
RpS5b	-0.36273382
spas	-0.362646707
ImpL1	-0.362150724
CG13339	-0.362083314
CG31638	-0.361518282
Tgi	-0.361432791
CG7079	-0.361215785
Syt12	-0.361080258
CG10710	-0.361051583
CR42719	-0.360462115
oc	-0.36037609
CG13900	-0.359889172
tapas	-0.359706028
Acp53C14c	-0.359600686
CG7741	-0.359010837
CG17325	-0.358716964
CG6870	-0.358494756
Cpr47Ee	-0.358359364
CG9643	-0.358210489
shakB	-0.357970025
NimC4	-0.357517991
rhi	-0.357290445
CR43454	-0.357232687
hec	-0.357102827
aos	-0.356763128
CG7137	-0.35668211
Actbeta	-0.356527683
Mpp6	-0.356089057
Cyp9b2	-0.356068907
MFS16	-0.355762074
CG42524	-0.355224594
fy	-0.35442581
CG31955	-0.354094408
Rep	-0.354037269
CG4709	-0.353410024
sev	-0.353286587
SKIP	-0.352942134
CG8679	-0.352836899
CG15034	-0.352682521
CG33322	-0.351599431
CG2065	-0.351532544
CG12007	-0.351404632
CG4278	-0.351253434
CG13917	-0.351206319
BRWD3	-0.350862189
CG40472	-0.350155775
CG16898	-0.349848463
Ac78C	-0.349674207
NANS	-0.349437228
CG42235	-0.349365767
CG30090	-0.349135202
seq	-0.349063549
CR45184	-0.348688805
Tehao	-0.348555172
puc	-0.348518095
tld	-0.348435098
Oli	-0.347859611
CG45081	-0.34754362
CG3773	-0.347405199
Cortactin	-0.347264127
wnd	-0.346846078
Bgb	-0.346028221
TwdlT	-0.345971417
CG5731	-0.345920044
CG12420	-0.345351845
BCL7-like	-0.34521491
CR45789	-0.345039449
trem	-0.344993837
CG42331	-0.344648864
Ppox	-0.344080795
rho-5	-0.343970448
CG7568	-0.34392518
Tif-IA	-0.343903449
Hr51	-0.343738908
Msr-110	-0.34371523
grau	-0.343218709
CG14661	-0.342665001
CG8565	-0.342494828
CG6282	-0.342403709
CG13599	-0.341727408
Pdh	-0.341543219
hid	-0.341266365
Hr4	-0.341257006
CG31918	-0.34118425
Cyp301a1	-0.341100831
nrm	-0.341069465
wge	-0.341057538
CG43448	-0.340340391
CG13204	-0.339670667
CR44889	-0.338964249
CR45341	-0.338666769
Pex6	-0.338642384
Blm	-0.338464715
Cap-G	-0.338293706
CR45952	-0.338232776
gb	-0.33807839
CG7504	-0.33787397
Fbxl4	-0.337521986
CG13689	-0.33725205
CG4835	-0.337143505
Hen1	-0.337038905
RNaseMRP:RNA	-0.336962647
CG15356	-0.336145317
Gyf	-0.335631658
mute	-0.335383396
ppk31	-0.335265254
vkg	-0.334734272
CG12964	-0.334730853
CG11897	-0.334595186
spir	-0.33455289
CR43859	-0.334111674
CG44158	-0.333822494
Grd	-0.333653874
ACXD	-0.333341644
Tsf1	-0.333336615
Magi	-0.3331651
