gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
scf	3157.291341	-0.0017735	0.096738445	-0.018332942	0.985373248	0.996008163
CG9149	302.7817382	0.233159378	0.156789811	1.487082457	0.136993034	0.57172764
CG2469	700.6415942	0.663335585	0.158880667	4.175055385	2.98E-05	0.001774049
Sherpa	812.9766152	-0.03579674	0.110247114	-0.324695483	0.745411554	0.952679617
Myo61F	64.24408184	1.619070098	0.514831793	3.144852591	0.001661705	0.03899519
ND-ACP	781.2189609	-0.233408339	0.160526617	-1.454016432	0.145941751	0.585471929
msd1	3.336712119	-0.219062575	1.511318091	-0.144948027	0.884751907	0.974089338
l(3)02640	1599.934407	0.014255189	0.098420874	0.144839086	0.884837922	0.974089338
312	124.5953275	-0.233088759	0.232479142	-1.002622247	0.316043158	0.78094733
ru	42.77070035	0.433342743	0.445763456	0.972136089	0.33098285	0.788814419
rho	845.2738056	-0.250148644	0.121736012	-2.05484506	0.039893972	0.316387763
Psa	921.108983	0.140087701	0.119102031	1.176199091	0.239515328	0.718292043
pns	672.8660851	0.27687849	0.118074527	2.344946854	0.019029792	0.204213454
Cct1	5377.470518	0.110599669	0.085967014	1.286536131	0.198256018	0.663700638
Cct2	1091.07328	0.124972652	0.103130151	1.211795493	0.225590674	0.69937861
Pex10	48.59915984	-0.239813279	0.379916599	-0.631226115	0.527892689	0.891744164
CG12004	1177.461989	0.082738676	0.121182743	0.682759558	0.494758788	0.878116683
CG13917	3408.658001	-0.022648535	0.107624681	-0.210439972	0.833324298	0.964710372
CG33791	14.31938604	-0.685200612	0.670730719	-1.021573326	0.306982888	0.775455239
CG33230	23.83633243	-0.502063651	0.51525748	-0.974393716	0.329861088	0.788203435
ABCB7	730.1179023	-0.267609821	0.115346962	-2.320042215	0.020338594	0.21207307
Bgb	411.1720701	-0.126424148	0.140998189	-0.896636679	0.369912819	0.818114235
CG13919	301.5510898	-0.383727338	0.157777816	-2.432074096	0.015012636	0.174757259
CG13920	525.0569724	-0.349421007	0.13139194	-2.659379312	0.007828477	0.116041686
CG7970	502.5599765	0.41944872	0.184581804	2.272427249	0.023060717	0.227777096
CG7974	53.97930118	-0.027770534	0.329990518	-0.08415555	0.932932758	0.98465642
CG7991	289.8535105	0.160994231	0.169625682	0.949114715	0.342562271	0.798457209
CG12011	12.25121423	0.210114745	0.690401579	0.304336999	0.76087116	0.954639865
Gk2	178.5479202	0.201936838	0.204014355	0.989816808	0.322263668	0.784286982
CG13921	383.0794646	0.173665312	0.145388085	1.194494804	0.232284472	0.707986577
CG8001	152.2685536	0.084618069	0.210225475	0.402511011	0.687307986	0.942704207
CG12018	125.6760001	-0.189121438	0.235602489	-0.802714094	0.422140005	0.84396525
mRpL46	97.95749661	-0.346137832	0.284837655	-1.215210931	0.224285652	0.697010796
Cdc37	668.0573563	-0.021278389	0.125708814	-0.169267282	0.865586409	0.969062744
Patj	428.8600887	-0.075755329	0.166683053	-0.45448729	0.649478138	0.932315521
CG42676	127.8109678	-0.123891473	0.224825817	-0.551055365	0.581595722	0.908978464
GV1	78.61484143	0.416608459	0.414115983	1.006018787	0.314406533	0.779497932
CG12024	750.5266995	-0.152978403	0.134136885	-1.140464857	0.254092686	0.733365861
CG12025	1690.910772	-0.22506031	0.097889797	-2.299119173	0.021498173	0.21893646
Tmhs	7.377561127	-0.261372047	0.893828437	-0.292418585	0.7699666	0.954639865
Dbx	33.33306806	0.070545944	0.410594521	0.171814139	0.863583649	0.96900702
Mfap1	200.4768347	-0.117258243	0.211545614	-0.554292951	0.579378373	0.908831201
Cnb	8.49014665	0.931026672	0.819414044	1.136210294	0.255868563	0.735273475
SCOT	134.3730757	0.490330706	0.256328739	1.912897897	0.055761125	0.379927982
CG1139	19.79756432	2.937970201	0.888638112	3.306149219	0.000945877	0.025643224
CG34259	9.182777647	1.200803039	1.262901149	0.950829002	0.341691188	0.79820921
CR42860	9.472262987	0.361028997	0.796134055	0.453477646	0.650204837	0.932509146
CG13810	13.22259245	3.64055382	1.124931243	3.23624563	0.001211131	0.030506292
CG8960	1.667927638	-0.658669197	2.06789205	-0.318522041	0.750088978	NA
ACXD	22.10909844	0.803621765	0.700570852	1.147095634	0.251342098	0.729699452
CG2034	784.243688	-0.08399674	0.111191794	-0.755422112	0.44999575	0.855797714
CG13807	128.8508537	-0.096006065	0.232065718	-0.413702058	0.67909232	0.941599745
CG13806	91.5215089	3.717915872	1.346758944	2.76063945	0.005768832	0.095570057
CG32302	5.586362493	4.851590965	1.796526288	2.700539923	0.006922703	0.106862966
yellow-g2	1.811271424	-0.027769288	1.915787525	-0.014494973	0.98843509	NA
MsR2	152.6209942	1.026240411	0.231448699	4.433986515	9.25E-06	0.000700736
MsR1	64.58531566	0.048828202	0.311940933	0.156530281	0.875615053	0.971907286
CG8993	461.603511	-0.029396649	0.15033144	-0.19554558	0.844965859	0.965486742
CG9004	17.80339512	0.16844854	0.578673485	0.291094277	0.770979217	0.954639865
CG45186	750.4392985	-0.137685995	0.133671947	-1.030029103	0.302996344	0.771401454
CG1146	592.1774663	0.006898942	0.131170446	0.052595245	0.958054406	0.990156149
CR45170	20.33782325	-1.22169414	0.631128055	-1.935731	0.052900656	0.369510972
RpL8	6476.740948	-0.141752579	0.094443854	-1.500919053	0.1333765	0.564095969
dos	331.5782187	0.192084498	0.169902677	1.130556045	0.258241997	0.735550874
CG16985	73.88182741	1.142634049	0.445197658	2.566576955	0.010270783	0.136528528
CG16986	92.57065499	0.643148445	0.398226539	1.6150316	0.106303852	0.51344778
MEP-1	1514.335275	-0.075842872	0.135229134	-0.560847129	0.574901755	0.906896072
CG42245	1511.059427	-0.079795106	0.135674015	-0.588138458	0.556439361	0.902793045
CG1143	48.69612467	-0.456089241	0.394893827	-1.15496675	0.248104043	0.726953313
CG1246	124.4593158	2.599791349	1.047760337	2.48128437	0.013090989	0.159872051
CG42304	218.2059846	-0.415320532	0.178977305	-2.320520644	0.020312729	0.21207307
Acp62F	0.774012303	-0.410844775	3.310739385	-0.124094568	0.901240399	NA
Non2	1211.561608	-0.112209388	0.100545128	-1.116010197	0.26441777	0.742714297
Atg2	44.56794906	0.05425016	0.367912963	0.147453789	0.882773852	0.973463557
mRpS35	104.7155033	-0.724838757	0.258931143	-2.799349469	0.005120569	0.087355057
pgant6	82.74910841	0.164991497	0.296940104	0.555638981	0.578457678	0.908166894
Shab	3199.85468	0.053717113	0.102332481	0.524927306	0.599633727	0.914226232
Or63a	33.99908876	0.122867256	0.421600205	0.291430732	0.770721914	0.954639865
CPT2	211.9542103	-0.146128738	0.19237432	-0.75960626	0.447489976	0.854659939
FMRFaR	141.3828895	0.321566691	0.219966884	1.46188683	0.143772224	0.581523933
CG2162	365.0252525	-0.002897598	0.152450076	-0.019006866	0.984835628	0.996008163
Jafrac2	90.22741258	0.29541511	0.32818133	0.900158184	0.368036076	0.817752586
Sk2	76.60558912	-0.50678782	0.328933062	-1.540701979	0.123389335	0.547204876
CG32485	180.3607451	-0.598009599	0.218205625	-2.740578295	0.006133117	0.098722051
CG1271	109.0773513	-0.156879983	0.242768394	-0.646212552	0.518141712	0.887029695
CG16753	92.0716421	-0.006456905	0.253255936	-0.025495573	0.97965968	0.995677129
CG11486	3295.066592	-0.069741607	0.094415428	-0.738667485	0.460108934	0.862790944
snRNA:U5:63BC	12.73047197	0.068454094	0.734943209	0.093142018	0.925790737	0.983004459
CG1291	67.64077376	-0.134358221	0.31268219	-0.429695792	0.667416945	0.937112963
BtbVII	698.3720916	0.212754924	0.12014585	1.770805433	0.076593062	0.439119242
CG15812	254.3330431	-0.078970287	0.18364432	-0.430017588	0.667182847	0.937112963
CG32280	210.8305914	0.050102691	0.184141378	0.272088171	0.785554225	0.957838753
CG32278	613.8987629	-0.116498787	0.148737987	-0.783248373	0.433481274	0.848937988
CG32281	44.52225181	0.02647978	0.36137412	0.073275252	0.941587085	0.986137985
Girdin	324.4615513	-0.167384972	0.148408797	-1.127864214	0.259377269	0.737374626
CG42494	62.47273452	0.11382499	0.344199458	0.330694855	0.740874989	0.952134052
CG32284	12.83970557	0.193516918	0.665242427	0.290896837	0.77113022	0.954639865
Hsp83	5510.647861	0.895127464	0.371723833	2.408044316	0.016038234	0.183993193
gry	167.533526	0.18447774	0.262523156	0.702710353	0.482236274	0.873743491
CG12034	431.4580312	0.069329229	0.152804246	0.453712711	0.650035617	0.932509146
CG17737	2985.584639	-0.06191415	0.120155021	-0.515285584	0.606353471	0.916096535
CG11505	1037.806753	-0.015077562	0.12098784	-0.124620472	0.90082402	0.977036621
ckd	13.76245929	-1.34361064	0.685149773	-1.96104661	0.049873586	0.357638235
CG34265	18.36378932	0.229792453	0.97241775	0.236310427	0.813191797	0.963261749
CG12017	1.127179815	3.53665015	3.226344199	1.096178812	0.27300053	NA
ZnT63C	449.4764612	0.325325168	0.177559764	1.832200945	0.066921488	0.416068298
Drsl2	3.40989484	5.137753947	1.782368127	2.882543661	0.003944785	0.072569949
Drsl3	2.237376999	2.639793348	2.410140255	1.095286195	0.273391274	0.748931801
Drsl4	21.47276397	0.316744942	0.668607309	0.473738377	0.635686483	0.927729444
Drsl5	160.1742401	1.080023013	0.38077365	2.836391155	0.004562653	0.08021237
CG12016	263.1068129	-0.036200273	0.209827826	-0.172523702	0.863025829	0.96900702
CG42456	263.1068129	-0.036200273	0.209827826	-0.172523702	0.863025829	0.96900702
PHGPx	2141.725195	-0.072195363	0.088775148	-0.813238436	0.416081367	0.840209863
CG14961	12.54744419	0.452260611	0.698140755	0.647807205	0.517109655	0.886399944
kst	102.8846068	0.87144862	0.3373013	2.583591051	0.009777765	0.131804018
Drs	7115.07075	2.190563071	0.704052899	3.111361481	0.001862268	0.042257901
CG12010	24.80638598	-0.067040357	0.496114076	-0.135130932	0.892508354	0.975092387
CG12012	1604.711116	0.005781766	0.150645533	0.038379935	0.969384759	0.993441192
CG12014	170.5202994	-0.20229215	0.208555789	-0.969966598	0.332063142	0.789532074
armi	51.80163693	-0.051648949	0.350638028	-0.147299907	0.882895306	0.973463557
CycJ	197.7593106	-0.480160507	0.226978061	-2.115448979	0.034391699	0.291258492
CG42324	871.4000098	0.082205711	0.143998667	0.570878276	0.568082158	0.905034948
Eip63E	1247.386611	-0.106089323	0.139681894	-0.75950662	0.447549556	0.854659939
CG10359	57.71070667	0.322902113	0.375211678	0.860586522	0.389465812	0.824778327
CG10357	2.717705526	1.145703538	1.851427297	0.618821781	0.536033772	0.896067763
dar1	70.75191881	0.814422098	0.36025184	2.26070212	0.023777709	0.231586096
CG43089	4.779311615	0.27950537	1.082757911	0.258142071	0.796297263	0.959571896
IntS10	61.89946701	0.498072938	0.317438259	1.56903878	0.116638903	0.537909082
CG12006	239.6002106	-0.047335929	0.198561964	-0.238393739	0.811575723	0.962667159
Scsalpha	1940.704324	-0.17017998	0.106646816	-1.595734276	0.110548133	0.523586855
enc	2447.833143	0.290499323	0.110406127	2.63118843	0.008508685	0.122425235
Rdh	114.8972685	-0.072313546	0.232742252	-0.310702273	0.756026969	0.95384954
Awh	57.59187833	-0.370428358	0.357987931	-1.034750967	0.300785227	0.770582107
Fie	976.4074219	-0.187619454	0.1179484	-1.590690961	0.111679142	0.526173851
CG14977	432.5108897	-0.036400921	0.152728367	-0.238337656	0.811619217	0.962667159
Sc2	747.2099923	0.090397425	0.134677058	0.67121621	0.502082804	0.882734621
ida	37.94918155	-0.586058994	0.391144172	-1.498319638	0.134050224	0.564358566
CR43916	18.29214166	-0.555798974	0.604184918	-0.919915339	0.357617002	0.809707771
CG14982	226.5464534	0.306994414	0.18691435	1.642433627	0.100500171	0.505458496
scrt	11200.10722	0.126479386	0.079582489	1.589286634	0.111995695	0.526599566
CG14985	140.2385666	0.386036889	0.216108302	1.786312167	0.074048728	0.431720428
Mul1	170.6581077	-0.251558236	0.203280472	-1.23749337	0.215903974	0.685859619
Rcd5	351.2137883	0.093030854	0.168212917	0.553054165	0.580226321	0.908847736
CG1136	10.54498062	0.369576602	0.720307145	0.51308196	0.60789399	0.916096535
dib	13.24864726	0.380146217	0.68893249	0.551790231	0.581092081	0.908978464
CG14989	8924.891698	-0.35712452	0.096847597	-3.687489726	0.000226477	0.00877131
Fit1	567.3440794	0.28624235	0.120691213	2.37169172	0.017706858	0.19488894
Ack	243.5586094	0.268502589	0.187511126	1.431928838	0.152164188	0.591503012
Ras64B	145.5017889	-0.118041239	0.232931277	-0.50676423	0.612320257	0.91745396
Akh	4742.890393	-0.417823328	0.142507709	-2.93193491	0.003368573	0.064623917
CG32260	2.583422664	-0.434117947	1.466363532	-0.296050698	0.767191365	0.954639865
CG1299	103.2807799	0.050568523	0.357925421	0.141282291	0.887646939	0.974743141
Ero1L	454.6025978	0.046995207	0.149837957	0.313640199	0.753794325	0.95384954
CG18675	215.6637501	-0.097372481	0.200249544	-0.486255694	0.626785888	0.925661053
tipE	352.7933291	-0.155768046	0.161293996	-0.965739894	0.334174352	0.790837221
CG43367	587.1093712	-0.302547473	0.123498903	-2.449798858	0.014293604	0.169470585
Cpr64Ad	6.497025247	-1.286289164	1.026068933	-1.253608917	0.209984188	0.678776497
CG14997	124.3583972	0.733547249	0.247833171	2.959842895	0.00307796	0.060745479
pav	20.73313012	0.384413952	0.524497519	0.732918533	0.463608119	0.863667987
CG1265	295.5875079	-0.176572794	0.162634581	-1.085702638	0.277610573	0.752817855
CG1309	326.3167339	-0.012379525	0.145894372	-0.084852655	0.932378532	0.98465642
VhaM9.7-a	1518.852997	-0.389234189	0.101310919	-3.841976703	0.000122047	0.005400825
CG1311	740.2943206	-0.082113918	0.119826292	-0.685274636	0.493170634	0.877647542
CG1316	1382.173483	-0.22928746	0.123699779	-1.853580195	0.063799243	0.404840252
TfIIEbeta	205.0315303	-0.128492052	0.18839439	-0.682037569	0.495215195	0.878116683
Hexo1	134.4411801	0.351495794	0.24825494	1.41586626	0.156814665	0.599235458
Fdx2	532.2718847	0.172835255	0.1409638	1.226096737	0.220162274	0.690444975
Claspin	0.960035689	3.338622365	2.993189102	1.115406428	0.264676296	NA
PMP34	341.9553491	-0.162247474	0.169300114	-0.95834238	0.33789014	0.794736124
mRpS6	471.6913701	-0.21176298	0.15115286	-1.400985593	0.161218381	0.605922558
CG33514	7.698729433	2.027481571	1.130337524	1.793695714	0.07286175	0.427704699
slow	416.1489207	0.078633994	0.139367558	0.564220217	0.572604271	0.905968773
Syx17	459.7170588	0.061079967	0.139060363	0.439233481	0.660492368	0.935776361
DOR	2825.684023	0.343743608	0.101741183	3.378608316	0.000728537	0.021023504
nAChRbeta1	4376.225871	-0.039545452	0.084911578	-0.465725087	0.641412293	0.930057728
CG15021	144.6732272	0.14065579	0.290055329	0.484927447	0.627727812	0.925661053
CG11353	22.24729794	0.610146259	0.696493548	0.876025715	0.381016054	0.822449196
CG11357	383.4743609	0.074301518	0.14947884	0.497070473	0.619139356	0.922998006
CG42540	2600.57336	-0.02081898	0.112187157	-0.185573648	0.85277912	0.96669148
HDAC1	225.6546725	0.075657255	0.189080972	0.400131513	0.689059655	0.942704207
RhoGEF64C	13.02293018	0.223390366	0.784877078	0.284618283	0.775936603	0.954998558
LeuRS-m	77.21766119	-0.435297435	0.285302256	-1.525741299	0.127074305	0.553593166
Dnah3	5.824713351	-0.138260642	1.017012428	-0.135947839	0.891862516	0.975033133
CG13704	698.7028586	2.581765469	0.624623642	4.13331372	3.58E-05	0.002035186
Rh50	1134.786662	-0.567858049	0.120114903	-4.727623579	2.27E-06	0.000198325
CG15212	0.162317243	0.834745046	4.080472857	0.204570665	0.837907577	NA
CG4603	472.6998876	0.044725529	0.159756648	0.279960361	0.779507917	0.956537001
CR45160	191.3262398	0.087688116	0.191490321	0.457924531	0.647006662	0.931151889
CG4611	48.79602277	0.114900162	0.367588253	0.31257844	0.754600961	0.95384954
CHMP2B	88.920791	-0.254170428	0.302920454	-0.839066574	0.401431952	0.831601039
Gdap1	7.951171981	-0.494881488	0.967580904	-0.511462645	0.609027139	0.916412444
AlaRS-m	78.65865626	0.173047539	0.297508725	0.581655344	0.560798857	0.903912929
Srp54k	324.7292293	0.067511342	0.153911156	0.438638389	0.660923576	0.935776361
Cyt-c1	2140.411695	-0.284098454	0.112316512	-2.529445135	0.011424303	0.146384544
Membrin	93.08454669	0.039009931	0.256908943	0.151843413	0.87931044	0.972793831
CR45743	11.83144394	1.846135599	1.02061792	1.80884106	0.070475699	0.42172858
DIP-delta	383.4125576	0.107062554	0.164857201	0.649426007	0.516063058	0.886399944
CG4835	25.03633173	3.478285657	0.967084001	3.596673768	0.000322312	0.011376978
Sras	227.6773712	0.029385296	0.182254863	0.161231888	0.871910767	0.970032858
bc10	553.087595	-0.019221995	0.133368324	-0.14412714	0.885400074	0.974089338
l(3)psg2	136.7344188	0.270980908	0.211000436	1.284267048	0.199048533	0.663781757
CG5150	30.39335162	4.785394153	2.600068125	1.840487988	NA	NA
mthl2	60.32139325	0.289344244	0.408082539	0.709033629	0.478303608	0.870431801
Blimp-1	1276.183858	0.501959779	0.117188678	4.283347037	1.84E-05	0.00124778
lin-28	10.82209302	0.271778336	0.812655218	0.334432524	0.7380532	0.95163061
sif	24795.1018	0.017650884	0.075932293	0.232455568	0.816184194	0.963638299
CG46320	24330.09494	0.021555177	0.076110416	0.283209297	0.777016402	0.954998558
Usp47	775.2410754	0.170331067	0.129950068	1.310742416	0.189944803	0.653795978
Txl	285.5632847	0.387095679	0.161949952	2.390217933	0.016838378	0.189790993
scny	418.7077756	0.163195676	0.150354702	1.085404536	0.277742524	0.752817855
PGRP-LD	713.5082	-0.153409667	0.121871106	-1.258786198	0.208107567	0.676743736
Pmi	712.4307919	-0.152756729	0.121496709	-1.257291079	0.208648253	0.6771162
CG42272	6.316819885	-1.352789264	1.03187937	-1.310995552	0.189859267	0.653719974
kri	655.0968116	0.098215485	0.120689697	0.813785165	0.415768035	0.840185742
CG5568	0	NA	NA	NA	NA	NA
CG18586	2.384274316	-1.196000278	1.816915957	-0.658258448	0.510372073	0.885808235
CG13287	49.14068873	0.032734989	0.410717962	0.079701869	0.936474373	0.985047886
CG32409	67.82398635	-0.203187352	0.313082181	-0.64899047	0.516344536	0.886399944
CG13288	22.84447238	-0.335653078	0.492258914	-0.681862875	0.495325663	0.878116683
CG32407	273.5775665	-0.135603008	0.164145707	-0.826113645	0.408739628	0.83645166
CG33523	1043.196336	0.061476528	0.10054596	0.611427125	0.54091685	0.899084444
PVRAP	482.9017895	-0.189996289	0.148578858	-1.27875723	0.20098256	0.667264689
yip7	4948.95066	5.403593665	1.688910546	3.199455222	NA	NA
Jon65Aiv	3356.31899	5.537380468	1.677330053	3.301306417	NA	NA
Jon65Aiii	2205.399351	4.458229129	1.486852613	2.9984338	NA	NA
tant	245.9851616	-0.241395335	0.17564898	-1.374305361	0.169346903	0.620118706
CG42269	1.06356132	-2.380391988	2.408461626	-0.988345408	0.322983514	NA
CG6610	57.94340816	0.216991198	0.339957689	0.638288837	0.523285677	0.890173225
ssp6	238.439049	0.222540694	0.17138743	1.298465665	0.194127368	0.658995979
CG13293	488.1161336	-0.361504847	0.128389306	-2.815692824	0.004867218	0.083995468
loj	1586.449017	0.075792113	0.140174947	0.540696571	0.588716742	0.909528005
Ets65A	304.9914609	0.200875352	0.200168329	1.00353214	0.315604178	0.780844146
Lcp65Ac	2.950137422	-2.466116402	1.791628913	-1.376466067	0.168677386	0.618844171
CG7376	20.99394606	0.26251422	0.521286406	0.503589231	0.614550062	0.919682559
CG43293	6.266608666	-0.289608511	0.99568339	-0.290864058	0.771155291	0.954639865
CG7386	16.8700814	-0.06648293	0.578460566	-0.11493079	0.90849998	0.978816704
Trn	1102.111453	-0.076034479	0.104424954	-0.728125573	0.46653672	0.865540575
CG8219	7.979828449	-0.578124104	1.022393471	-0.565461459	0.571759932	0.905968773
CG33946	6.583337974	-0.456535041	1.321031869	-0.345589726	0.729651068	0.950504205
Sfp65A	0.289570082	-1.795777034	4.052053166	-0.443177066	0.657637666	NA
CG42747	50.49168918	0.29110208	0.371988472	0.782556723	0.433887463	0.848937988
CG8270	291.0305828	-0.082363007	0.171703814	-0.479680708	0.631454448	0.926364907
sfl	672.8111906	-0.129376482	0.123692654	-1.045951217	0.295583556	0.767335893
CR45979	33.1993965	-0.133834662	0.454308656	-0.294589725	0.768307312	0.954639865
CG32396	67.27334625	-0.000342452	0.338743472	-0.001010948	0.99919338	0.99929038
CG18769	463.1186888	-0.069310092	0.164630462	-0.421004052	0.673752123	0.940049876
CG8368	277.1960051	0.082357647	0.171727338	0.479583784	0.631523379	0.926364907
CG8398	235.3578052	-0.174796408	0.203682168	-0.858182187	0.39079187	0.825833405
GluRIA	242.4622291	0.081154856	0.18040036	0.449859725	0.65281159	0.933125142
CG8549	57.7115655	0.482115263	0.348410204	1.383757585	0.166432694	0.614956119
vvl	1091.906207	0.068956112	0.110092311	0.626348124	0.531086628	0.893411894
CR45414	3.460438659	0.886699038	1.480751642	0.598816853	0.549295023	0.901824893
tow	1179.887122	0.120719373	0.114043431	1.058538592	0.289809966	0.762325216
CG9948	59.68174563	0.245208213	0.317447944	0.772435976	0.439856253	0.849707124
Surf1	64.17716704	0.0325427	0.298247894	0.109112926	0.913112922	0.980520545
CG9953	339.3716638	-0.010035837	0.15595342	-0.064351502	0.948690345	0.987512169
Mp	1980.007368	0.409785835	0.31743148	1.290942649	0.196723565	0.662103526
CG14823	110.535147	0.173764699	0.290638017	0.597873262	0.549924502	0.901824893
form3	906.377366	0.229225982	0.111888718	2.048696109	0.04049184	0.319408067
CG15829	14.00563113	3.559636023	1.210754731	2.940014135	0.003281973	0.063435053
Dbi	866.2974517	0.159048778	0.141066032	1.127477508	0.259540645	0.737393195
melt	7.536162516	-1.338989512	0.904767477	-1.479926661	0.13889282	0.574479338
CG8620	28.21144438	0.75705218	0.510506668	1.482942783	0.138089613	0.573572892
BHD	90.64061763	-0.097910741	0.283086286	-0.345868894	0.729441246	0.950504205
Neos	112.2713465	0.029336967	0.255812692	0.114681438	0.908697627	0.978816704
CG8607	31.26177247	0.167937602	0.490421279	0.34243539	0.732023259	0.951274336
Rint1	110.1991881	0.095119512	0.242582858	0.392111432	0.694975881	0.942704207
CG42307	425.8931394	-0.246267802	0.162262221	-1.517714966	0.12908627	0.557587735
mus312	425.2989765	-0.242582834	0.163314287	-1.485374231	0.137444718	0.573029334
lark	1782.763477	-0.245017788	0.099828401	-2.454389593	0.014112399	0.168426492
qm	475.2878298	-0.211660273	0.131146122	-1.613927049	0.106543251	0.51344778
CR45822	157.7890049	1.560272859	0.2390357	6.527363321	6.69E-11	1.60E-08
Sec63	591.9527345	0.303832461	0.126566921	2.400567695	0.016369663	0.186342834
akirin	758.9794156	-0.14398096	0.126342172	-1.139611249	0.254448297	0.7334433
smid	217.2524694	-0.06758672	0.174700581	-0.386871751	0.698851155	0.943301026
CG8563	7.78038818	1.341667497	0.925122855	1.450258731	0.146986383	0.586091887
CG8562	25.63346681	3.327690988	1.798857364	1.849891523	NA	NA
CG42458	74.65243633	0.477315356	0.328727985	1.452007065	0.146499641	0.586002524
CG7546	4319.790484	0.037417367	0.095435368	0.392070227	0.695006325	0.942704207
ltl	595.182142	0.167766131	0.161599649	1.038159012	0.299196032	0.769617358
